,points,rebounds,assists,date,made_field_goals,made_three_point_field_goals,made_free_throws,offensive_rebounds,defensive_rebounds,team,location,opponent,outcome,seconds_played,attempted_three_point_field_goals,attempted_free_throws,attempted_field_goals,steals,blocks,turnovers,personal_fouls,game_score,minutes_played
Anthony Davis,25.0,10.0,5.0,19_10_22,8.0,0.0,9.0,3.0,7.0,LOS_ANGELES_LAKERS,AWAY,LOS_ANGELES_CLIPPERS,LOSS,2242.0,2.0,14.0,21.0,1.0,2.0,3.0,3.0,17.4,37.37
Avery Bradley,8.0,3.0,0.0,19_10_22,3.0,2.0,0.0,0.0,3.0,LOS_ANGELES_LAKERS,AWAY,LOS_ANGELES_CLIPPERS,LOSS,1442.0,5.0,0.0,7.0,0.0,0.0,2.0,3.0,2.0,24.03
Danny Green,28.0,7.0,0.0,19_10_22,10.0,7.0,1.0,1.0,6.0,LOS_ANGELES_LAKERS,AWAY,LOS_ANGELES_CLIPPERS,LOSS,1940.0,9.0,1.0,14.0,2.0,1.0,0.0,3.0,26.2,32.33
Dwight Howard,3.0,6.0,1.0,19_10_22,1.0,0.0,1.0,3.0,3.0,LOS_ANGELES_LAKERS,AWAY,LOS_ANGELES_CLIPPERS,LOSS,1142.0,0.0,1.0,3.0,0.0,1.0,0.0,4.0,4.1,19.03
JaVale McGee,4.0,2.0,0.0,19_10_22,2.0,0.0,0.0,1.0,1.0,LOS_ANGELES_LAKERS,AWAY,LOS_ANGELES_CLIPPERS,LOSS,1040.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,4.1,17.33
Jared Dudley,6.0,0.0,0.0,19_10_22,2.0,2.0,0.0,0.0,0.0,LOS_ANGELES_LAKERS,AWAY,LOS_ANGELES_CLIPPERS,LOSS,801.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,4.6,13.35
Kentavious Caldwell-Pope,0.0,3.0,3.0,19_10_22,0.0,0.0,0.0,0.0,3.0,LOS_ANGELES_LAKERS,AWAY,LOS_ANGELES_CLIPPERS,LOSS,1643.0,2.0,0.0,3.0,0.0,0.0,1.0,5.0,-2.1,27.38
LeBron James,18.0,9.0,8.0,19_10_22,7.0,1.0,3.0,1.0,8.0,LOS_ANGELES_LAKERS,AWAY,LOS_ANGELES_CLIPPERS,LOSS,2160.0,5.0,4.0,19.0,1.0,1.0,5.0,3.0,11.3,36.0
Quinn Cook,4.0,1.0,2.0,19_10_22,2.0,0.0,0.0,0.0,1.0,LOS_ANGELES_LAKERS,AWAY,LOS_ANGELES_CLIPPERS,LOSS,1016.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.6,16.93
Troy Daniels,6.0,0.0,1.0,19_10_22,2.0,1.0,1.0,0.0,0.0,LOS_ANGELES_LAKERS,AWAY,LOS_ANGELES_CLIPPERS,LOSS,974.0,5.0,1.0,6.0,0.0,0.0,1.0,1.0,1.9,16.23
